term,coefficient
produto tem,-1.0813697409102947
foi no,-1.080464934807006
obg,-1.0804233685220501
veio apenas,-1.0801466120001058
entrega realizada,-1.0795857298314573
bom atendeu,-1.0794970709950233
preto,-1.0786085877686533
assento,-1.0772743056887208
ótimo entregue,-1.0771616508711581
loja entregou,-1.0766647585453666
fora isso,-1.0759015876322866
enviar,-1.0746776911428821
06,-1.0741335912861427
ate agora,-1.073752295925813
loja não,-1.0735575215065807
veio produto,-1.0714413654211095
precisar,-1.071263778841802
parece ser,-1.0710358419472363
serviu,-1.070733421077521
entregue produto,-1.0702363126995433
motivo,-1.0690460937759068
que tinha,-1.067619520645966
compra no,-1.0676014766226634
veio antes,-1.066456343883225
em ótimo,-1.0656457217678967
ótimo estado,-1.0656457217678967
prazo bom,-1.065591883262259
otima compra,-1.065559155065126
eles,-1.0655478741148152
lençol,-1.0647250508528192
cerdas,-1.0638611157390383
perfeito adorei,-1.0632354333421765
corretamente antes,-1.0627042724556541
reembolso,-1.0607628530993576
entrar em,-1.0599154631604517
produtos que,-1.0592528185350505
uns,-1.0585639764820367
prazo ok,-1.0577696742426048
00,-1.056439313258641
fina,-1.0559405765339758
no anúncio,-1.0537376071509819
do frete,-1.0530050431910998
em bom,-1.0521736396139796
13,-1.0515535177368016
do jeito,-1.0513761069283898
horrível,-1.0498631114713803
veio quebrado,-1.0496587246962106
chegou certo,-1.0494460841244493
1000,-1.0483192784951751
chegou correto,-1.0479200319888846
água,-1.0470512382332415
maquina,-1.0448964385734687
diferentes,-1.0435984029209822
de primeira,-1.042950205721238
ate momento,-1.0413100488357347
sem defeitos,-1.0404375670781523
qualidade preço,-1.0399221243873729
vez que,-1.0398400302172184
geral,-1.0398379902628394
manta,-1.0394339030307576
prazo material,-1.0386092632615749
foi um,-1.0382956913076757
reais,-1.0371469890645537
instalei,-1.0358385211295027
ser entregue,-1.0339120448656147
chegado,-1.0318621887502575
empresa entregou,-1.0307991802891598
kits,-1.029564251064645
bacana,-1.0290940881529473
king,-1.028315699198071
chegou direitinho,-1.0281372850594912
muitos,-1.026856477637081
única,-1.0260568784794584
satisfatória,-1.0248993845785745
produto da,-1.024712184553784
fraco,-1.0242325597738668
compra foi,-1.0240795492852333
muito caro,-1.0238953741214134
amigos,-1.0232610247463876
loja targaryen,-1.0230625255566201
situação,-1.0225848144773877
disseram,-1.0217462444021719
do correio,-1.0214684825601312
seu,-1.0205246108787704
não era,-1.0198417661595505
do mesmo,-1.0189357751467139
nesse site,-1.0178897721467812
rastreamento,-1.0143807528452675
pois não,-1.0143480278514538
tudo muito,-1.0128567424499046
devolver produto,-1.0119463569088551
não entregaram,-1.0110105840374517
no baratheon,-1.0106152688146475
rápido entrega,-1.010592453289325
lindo super,-1.0092381547109301
bom bonito,-1.008314414002455
propaganda enganosa,-1.0071338163517782
enganosa,-1.0071338163517782
agradeço,-1.0070719024479988
previsto gostei,-1.0066753480230701
para mim,-1.0065668477947622
inferior ao,-1.005344486162949
custo beneficio,-1.0049827540623277
beneficio,-1.0049827540623277
linha,-1.0045957937064425
dez,-1.0035899898300331
embalado com,-1.003271258219949
razoável,-1.0032344134688465
site de,-1.0031219662526978
amei meu,-1.002441687107364
preço que,-1.002357194102582
satisfeito recomendo,-1.002231885429977
produto show,-1.0014072799759923
pois,-1.0010147819262047
compraria novamente,-1.0003762870183697
tentando,-0.998923422193248
ótimo serviço,-0.9987829268798116
si,-0.9987269592434208
muito grande,-0.9972242990904786
amei produto,-0.9960366736003211
aberta,-0.9939631394095606
tampa,-0.9933309526999178
cabe,-0.9932033910435384
capa de,-0.9930448617902624
preciso que,-0.9925861268769702
prazo atendimento,-0.9924515692472213
recebi que,-0.9921771660255984
um pouco,-0.9917668223962589
compro sempre,-0.9909247920089207
adquiri,-0.9908171781757453
super recomendado,-0.9898162943308344
mas um,-0.989646420001312
qualidade inferior,-0.989514725264584
aguardando resposta,-0.9888051995644233
de ser,-0.988246608802808
bom foi,-0.9880617440967605
do prometido,-0.9872166238005797
perfeito entrega,-0.9869404437474982
de ter,-0.9866597321938285
onde,-0.9859442564952724
conformes,-0.985901218230984
tudo como,-0.9850725255167126
sao,-0.9845528341491355
das lannister,-0.9842645855995883
nas,-0.98421008513164
resolução,-0.9838454987539033
continue,-0.9834771703746357
da qualidade,-0.9825708851058553
lindo recomendo,-0.9822803675183623
pretendo,-0.9818370688452133
muito mas,-0.9810938679776133
poderia ser,-0.9805956052226096
acabado,-0.9805770249294912
loja boa,-0.9788880218671515
não estou,-0.9788383124846577
antecipada,-0.9780230917438157
já está,-0.9779954474315219
ola,-0.9779444752205986
prazo prometido,-0.9777919960361271
recomendo pois,-0.9775602393576358
seria,-0.9769410869521867
acabamento perfeito,-0.9763667387292021
protudo,-0.9757759392119439
carregador,-0.9746037150663218
produto em,-0.9728594878979758
para receber,-0.9726835818077315
couro,-0.9721801866961063
correu,-0.9706519071626128
embalado antes,-0.9705831122876621
correios não,-0.9694823396124748
manda,-0.9691684524755064
mais não,-0.9691582982427839
certinho antes,-0.9691312273291046
parceiros,-0.9690137581193002
to,-0.968954493681025
olá,-0.9679147728587891
produtos chegaram,-0.9672811650389402
suas,-0.9670602190737494
entregue com,-0.9670396551583834
pessoal,-0.9659830663322082
bom estado,-0.9639399564305633
podem,-0.9637687543042941
pedido entregue,-0.963631804859347
realizei,-0.9627150616877649
prazo eu,-0.9619377770896576
botões,-0.9614324492061946
ser melhor,-0.9593251508010447
lindo produto,-0.9592339184285903
processo de,-0.9591962005779832
tds,-0.9578015625395668
qualidade amei,-0.9576730092817457
produto por,-0.9575216990849907
pessoas,-0.9572894834723868
prazo porém,-0.9561865119538895
não utilizei,-0.9549450245461312
chegou mas,-0.9541880784118961
como esperado,-0.9541688543957428
ótimos produtos,-0.9540803260612442
bem mais,-0.9538707401405061
veio no,-0.9536783300725487
prazo veio,-0.9523905142189247
panela,-0.9523668354307009
ficou faltando,-0.9521975794147812
diz que,-0.952146263132868
mostrava,-0.9516420478335638
que seria,-0.9516346388640768
minhas espectativas,-0.9507476339570811
dizia,-0.950711725300211
excelente serviço,-0.9503222219666826
conforme pedido,-0.9495186786507572
continuo,-0.9494989459577072
que paguei,-0.9490433393138139
sim eu,-0.9479073670396957
minhas compras,-0.945903513487221
certo no,-0.9453003313413394
que aconteceu,-0.9451885689900553
produto minha,-0.9444489851276577
já recebi,-0.9440685126844149
escolhi,-0.9428299868765242
prazo dado,-0.9418051448867347
muito rapida,-0.9409648669205517
15 dias,-0.9399656186019153
ainda estou,-0.939496268883937
no geral,-0.9394333746738392
tem que,-0.9394009316864439
correto entregue,-0.9384062355428007
poderiam,-0.9383870361185962
foi bom,-0.9383395182348275
uma peça,-0.9371415046419275
urgência,-0.9369151889474374
qualidade eu,-0.9352097189042262
código,-0.9351273745699146
veio nota,-0.933818978015417
amei tapete,-0.9337852882710608
deveria ser,-0.9332398912402764
pedido,-0.9331546546804472
stark sempre,-0.9328909224833952
brinquedo,-0.9326257035019551
ficou perfeito,-0.932036287192475
nao gostei,-0.9320008018132339
loja ótima,-0.9316078507525426
resto,-0.9313003555078141
chateada,-0.9309026040069942
fofinho,-0.9297016167330457
disseram que,-0.9287700790270662
maravilha,-0.9283930197249782
compro nas,-0.9269945794875271
funcional,-0.9267132496201239
loja produto,-0.926570200807039
vocês estão,-0.926191377255202
primeira vez,-0.9241364817720563
experiência,-0.9238301944327987
dizer,-0.923300365749447
mas de,-0.9228178313548412
produto na,-0.9224005112925211
acompanhar,-0.9223761243556163
amei recomendo,-0.9222193303304563
atendimento de,-0.9219439835166328
lindo relógio,-0.9212747828907714
produto até,-0.9207013700429592
recebi certinho,-0.9200076941304287
sistema,-0.9197971479429264
tinha comprado,-0.9197443753969775
deveria ter,-0.9194698957915463
cor diferente,-0.9182761177075948
recebi as,-0.9178284737292186
aparentemente,-0.9177743191454795
fez,-0.9177506357623345
esta faltando,-0.9175003452609022
pequenos,-0.9169118551565077
blz,-0.9168040077200627
da caixa,-0.9164179364120605
por que,-0.9147312970123429
dias após,-0.9145860068622688
maneira,-0.9143675045097791
entrega até,-0.9132641627933665
tirar,-0.9123958295710987
hoje não,-0.9097514162916964
pessima qualidade,-0.9090258310734468
compromisso,-0.9088220256752203
antecipado,-0.9085906376108909
teve,-0.9071276441433305
muito longo,-0.9070531447694963
tive um,-0.9070061955894971
nunca mais,-0.9069033006281384
ante,-0.9059772951046967
ante do,-0.9059772951046967
lá,-0.9057769516761613
em condições,-0.9051730120268959
com muita,-0.9048101936381483
máquina,-0.9040882092951338
recebir,-0.9037488111836489
loja entrega,-0.9031449853595499
apesar do,-0.9015312759930932
vou devolver,-0.9014926414068365
cor que,-0.9008093107729448
muito pena,-0.8992811711983436
uma boa,-0.899269605621503
não ter,-0.8991477051268393
att,-0.8991204189246832
embalado perfeito,-0.8984864738318291
loja sempre,-0.8983584843248192
paguei frete,-0.8973316719735299
mercadoria bem,-0.8973242771236956
recebida,-0.8970733170491928
esse produto,-0.8969618611522114
imagens,-0.8968249666920829
lo,-0.8967443877879134
altura,-0.89655504204664
obrigado,-0.8961047179150985
chegou sem,-0.8949408715960745
ao cliente,-0.8949064563808451
voltarei,-0.8943258183192216
18,-0.8942024639163488
produto prazo,-0.8935419134062572
mil,-0.8933990368093979
tem uma,-0.8930900435895881
porta,-0.8927998894067934
entregue não,-0.890912182186318
condições de,-0.8903017607820606
linda amei,-0.8901300446295393
não instalei,-0.8898512453057995
estavam,-0.8895810050893403
abri,-0.8892671227076134
veio errada,-0.8885620406804566
mais bonito,-0.8884450207324831
para meu,-0.8877514176955562
era para,-0.887746482476423
com prazo,-0.8867031626440326
bom para,-0.886649988758844
gostei recomendo,-0.8845632618930106
está em,-0.8839686684716583
recomendo as,-0.8834400579320978
nada que,-0.8834332871422568
que tem,-0.8829785218203074
ajuste,-0.8821840229055361
compra sem,-0.8819968924805698
entregue mas,-0.8805615046097724
vermelha,-0.879547592706867
pai,-0.878132356142797
um item,-0.8771861742395817
fio,-0.8764271435188349
em si,-0.8759967979314635
corresponde,-0.873043064126293
qualidade mas,-0.8727572251708103
luminárias,-0.8722751279851169
do dinheiro,-0.871977563067069
amarelo,-0.8715235285496729
completo,-0.8714076208350808
de montar,-0.8710763403782339
vazando,-0.8699687130636277
faltando uma,-0.8686131949550115
bem que,-0.8684695252957035
agil,-0.8684527697615358
retirada,-0.8681599358886206
lindo entrega,-0.8668455658854286
for,-0.8666398296593896
adorei compra,-0.8663361880916404
instalar,-0.866065727282556
um outro,-0.8648181277168085
comprometimento,-0.8643853118807485
mais barato,-0.8627803510203301
quanto ao,-0.8623729076025733
embalado de,-0.8614580054149409
um mês,-0.86106307741307
perfeito entregue,-0.85991699862523
potente,-0.8597207182389208
avaria,-0.8594593031712575
duas unidades,-0.8590161530063039
com embalagem,-0.8587790483409306
bom adorei,-0.8573791930758689
foi de,-0.8572308863748364
entrega da,-0.857000228474939
ótimo site,-0.8567026537077966
produto uma,-0.855638427070348
confio,-0.8548925945900857
caixa do,-0.8543037031821177
aguardando retorno,-0.8539834230370625
loja de,-0.8537528250238017
quero devolver,-0.8534123400737569
liguei,-0.8532932265307712
aberto,-0.8529389424184414
rápida parabéns,-0.8524895256656736
um preço,-0.8523650580636251
efetuada,-0.8518597145944138
acompanhamento,-0.8509259035368697
deram,-0.8493976498112795
insatisfeito,-0.8489314155743474
rosa,-0.848395490812664
produto ótima,-0.8470445855429869
prazo da,-0.8464652675452009
estava em,-0.8459322526935759
tipo,-0.845863774167137
online,-0.8457955643630747
qualidade não,-0.845035350306051
centro,-0.8449120255000699
eu indico,-0.8445382390869558
delicado,-0.844328592730413
melhor ainda,-0.8437441750233969
09,-0.8437166276972154
mais resistente,-0.843349185649028
recomendável,-0.8430718645195294
tivesse,-0.8429818398631908
td certo,-0.8428657826468865
produto superou,-0.8425069048695497
era de,-0.8422788458421365
mouse,-0.8422611183017794
está de,-0.8415433187151526
farei,-0.8414131850602763
logistica,-0.8412079676333669
completamente,-0.8409017662937655
problemas com,-0.8403760720130232
entrega muita,-0.8403332233105119
muita rápida,-0.8403332233105119
tava,-0.8400292281491286
pior,-0.8399365193425485
na compra,-0.8396092554019059
pilha,-0.8393172699175317
veio sem,-0.8391403199890154
possui,-0.8390808636708823
on,-0.8388334918157648
line,-0.8388334918157648
on line,-0.8388334918157648
dias de,-0.8385791090421361
coisa que,-0.8378598205825929
americas,-0.8376969539891854
como faço,-0.8367538055949721
todo processo,-0.8363837237154302
de vidro,-0.8363413518123515
recebi nota,-0.8358869288560319
um relógio,-0.8358849840978633
maior que,-0.8357913433111428
numa,-0.835655184479678
atrasou,-0.8356155931500889
lados,-0.8355838992946131
inox,-0.8350970926683394
rápido do,-0.8345195644678389
fragil,-0.8329918370424029
podem comprar,-0.8323090152354178
vindo,-0.831732035791044
produto enviado,-0.8317169884954592
coisas,-0.8313621773529093
bom veio,-0.8312200167481737
sofá,-0.8302184622579554
uma coisa,-0.8299977876761763
até presente,-0.8297653850478095
as cerdas,-0.8289965409565585
para todos,-0.827968422060799
usei mas,-0.8273023161783222
teria,-0.8269659095256502
toda equipe,-0.8267616997737389
não que,-0.82659427027019
achei produto,-0.8261104601147059
ainda produto,-0.8259566208268858
outros produtos,-0.8258349477406658
mas na,-0.8256963449054672
mostrado,-0.8256107194216148
caixinha,-0.8233585873203532
pude,-0.8232425778435624
por ter,-0.8232169467643083
contente,-0.8231871662862094
liga,-0.8231488459144045
chegou no,-0.8229819066245494
dinheiro de,-0.8229442009599695
tudo direitinho,-0.821523281790077
de que,-0.8206728753736149
ter vindo,-0.8206588376389697
eram,-0.820044607963564
estimado,-0.8199996794550466
certo entrega,-0.8197561871759271
deixa desejar,-0.8184999713930772
prazo era,-0.8182851024655116
com pedido,-0.818136460051022
ficou lindo,-0.8176270446086962
esperei,-0.817593848838952
parabéns baratheon,-0.8175677815201043
pois recebi,-0.8171895785682077
responsabilidade,-0.8169799200993856
um dia,-0.8166632983395504
jeito que,-0.8161189192025893
sido entregue,-0.815268678112204
em ordem,-0.8149861163779327
que faço,-0.8149461174762991
me enviaram,-0.814716030848191
para ser,-0.8147105796538887
mangueira,-0.8130904652258145
braço,-0.8122115532747997
quero trocar,-0.8121740252027857
atendimento excelente,-0.8121096059303866
opção de,-0.811780890702732
prazo gostei,-0.8104770468927741
produto estou,-0.8103196554608532
por conta,-0.810316011696934
lixo,-0.8095519172620188
objeto,-0.8091320130130889
bem rapido,-0.8090984427033233
por mail,-0.8089771040125662
recebi não,-0.8087465123500113
tudo nos,-0.8068972870994269
protege,-0.8064336343089658
eficiencia,-0.8054056784507021
erro,-0.8046723093838936
deixando,-0.8041685593503608
não receber,-0.8038726186486611
medo,-0.8038453961541159
realizada antes,-0.8036535897967894
retorno da,-0.8028291947617094
prazo indicado,-0.8024320271962471
produto ficou,-0.8020562752610514
mas recebi,-0.8017612792583716
presente para,-0.8017067159422145
elegante,-0.8016634570860884
chegou meu,-0.800472720391466
anunciado entrega,-0.8003656909565772
muito rapido,-0.799874384015218
já solicitei,-0.7998231665321022
recebi nada,-0.7992763821387974
dois dias,-0.7990015683098597
dúvida,-0.7983487739906745
entregou no,-0.797845315249114
rápida tudo,-0.7976606091931975
rápido que,-0.7963378430978056
prazo mercadoria,-0.7962062661317999
se não,-0.7956329904288628
antes até,-0.7955304912224668
como esperava,-0.7954748397896672
de confiança,-0.7953102694965449
tudo ok,-0.7948383600847182
serviço prestado,-0.7947450436914505
prestado,-0.7947450436914505
efeito,-0.7945645468273543
você,-0.7943297768635478
comprar nas,-0.7941846968721192
para ver,-0.7933251077140147
que esta,-0.7930880999150376
como na,-0.7928496162905682
ainda veio,-0.7925501110745979
resolvido,-0.7924627646616523
produto corresponde,-0.7912065993923637
percebi,-0.7908263341150823
xbox,-0.7907615463584557
outro não,-0.7893698418084127
minha expectativa,-0.7893631972616096
foi excelente,-0.7887653121440601
não houve,-0.7883829152087551
produto um,-0.7878719924414817
prazo qualidade,-0.787411234161307
mala,-0.7868342979723094
entrega não,-0.7867168663710623
todos produto,-0.7865492068339743
prazo ainda,-0.7858614777301819
prevista para,-0.7853481591070256
resolução do,-0.7852172518201275
produto era,-0.785149532760687
recomendo sem,-0.7843561712082326
porem veio,-0.7841520298053921
foi recebido,-0.7833766589219204
nessa loja,-0.7829405350052479
carro,-0.7825507872766189
ágil,-0.7824713886041237
efetuei,-0.7824273579087097
ótima,-0.7819500972204103
voltagem,-0.7807333769772364
produto pelo,-0.7794603586294363
adesivo,-0.7793165262051178
utilizei produto,-0.7790769276588618
entregam,-0.778721947061432
pela,-0.7783712577810454
ai,-0.7774820649211831
site do,-0.7770027749775079
comprei paguei,-0.776802899848813
direito,-0.7766470158525548
agilidade na,-0.7763090746580513
previsto excelente,-0.7762343064563265
caixa de,-0.7759481229187107
desse produto,-0.7751939793385028
não entregou,-0.7747106065540846
vendido,-0.7744833708910707
na propaganda,-0.7744729278250421
faltou um,-0.7741761495711121
limite,-0.773326276360019
corretamente no,-0.7731179165702349
prazo nota,-0.7728099582607219
peço,-0.7728062949964404
meus produtos,-0.7727131840907755
ser um,-0.772536090400779
responder,-0.7721108824051257
pois ainda,-0.7718652707488418
acabei,-0.771609661571158
mercadoria entregue,-0.7714833762354317
informa,-0.7712838394828745
em um,-0.770764331549245
bem atendida,-0.7703304066930254
acondicionado,-0.7702395502425704
avariado,-0.7701304700500837
da mesma,-0.7699321473940289
rápido tudo,-0.7692991037262722
vc,-0.769210022212125
cadeira veio,-0.7691049599143549
demora muito,-0.7688588757421809
aguardando entrega,-0.7686429503585195
manuseio,-0.768534340687298
imprevisto,-0.7682410049361967
cumpre prometido,-0.7682180509348164
recebi tudo,-0.7681382090076669
chegam,-0.7674585051063146
não fiquei,-0.7674221387683009
combinado produto,-0.767127268414051
de rastreio,-0.7666370247912637
na imagem,-0.7665436609430888
bom vale,-0.7663949059655157
nos conformes,-0.766239865107896
lavar,-0.765712571479357
claro,-0.7654040839285421
mini,-0.7653998189215918
veio na,-0.7651293660198859
voltou,-0.7645205965974955
bem acabado,-0.7643774235579063
deve,-0.7631503224663724
para uma,-0.7630721869071515
muito fino,-0.762154916347486
só entregaram,-0.7617036437051531
recomendo pra,-0.7613347908934144
envio do,-0.7612084205358514
mas achei,-0.7611696205748366
de muito,-0.760158202376202
consta como,-0.7599552846346627
neste site,-0.7597053274947269
só foi,-0.7596993819896058
mas entrega,-0.7596861070032914
pneus,-0.7593261489819547
compra mas,-0.7588654655275909
prazos,-0.7588114418978813
de bom,-0.757765928093645
mas gostei,-0.7577607836629111
aguardo da,-0.7576008928792632
rápido antes,-0.7560903727620909
capa do,-0.7556162247679058
satisfatório,-0.7555171131292863
as entregas,-0.7549654972896561
verificar,-0.7545830714841377
as bolsas,-0.7542732730418702
própria,-0.7542608229454527
estou tentando,-0.7538611735658269
informada,-0.7533369254122482
para comprar,-0.7531798101737035
cancelar,-0.7526777009451934
conforme anúncio,-0.7526600589367372
em cima,-0.7520627669170863
carrinho,-0.7518910907369494
loja super,-0.7518712464008404
vale preço,-0.7518048743712161
solto,-0.7517750013994978
alem,-0.7517218567667993
ate hoje,-0.7514787245782063
marcado,-0.7512099837254241
aparece,-0.7507806426322301
ml,-0.7501964042356534
para uso,-0.7499440482118149
loja nota,-0.7498481034661648
seus,-0.7491356687659649
estipulado produto,-0.7489973942347963
fácil montagem,-0.7488926942425262
bem feito,-0.7487449886976519
certinho bem,-0.7475142455654823
perfeita condições,-0.7474112168511509
bordas,-0.7472197633350764
olha,-0.747113720533523
bolsa linda,-0.7456332291205597
como anunciado,-0.7452891959648887
previsto recomendo,-0.7452335869719017
as outras,-0.7448946803790438
gostamos,-0.7447551132862634
do atraso,-0.7444548016351457
iria,-0.744424312705621
contudo,-0.7441486851663928
irei comprar,-0.7441191991865783
produto parece,-0.7440490094226077
aqui,-0.7428725395065352
ate antes,-0.7427797264817882
pontuais,-0.7426459761611122
da rapidez,-0.7425294874227685
pouca,-0.7411257908647331
quero troca,-0.7406999441503571
excelente mas,-0.7403882265325278
de chegar,-0.7402723429918777
chegou td,-0.7401279831143511
câmera,-0.7393877183581852
bom bem,-0.7390526465914882
solicitei devolução,-0.738643949707554
conforto,-0.7386348685068672
quantidade,-0.7384573990412557
comprei produtos,-0.7380934390198646
muito fácil,-0.7379688254883563
excelente compra,-0.7372594718644936
natal,-0.7372465752817202
gostei produto,-0.7372099243896533
entrega mas,-0.736975967348974
enviaram um,-0.7360124813824468
remetente,-0.7360070048200742
essa compra,-0.7359183704853393
esperar,-0.7355964483079662
muito pequeno,-0.7353953666927093
bonito entrega,-0.7352573116457235
previsão de,-0.7352452572416879
condiçoes,-0.735032628456857
bem satisfeito,-0.7346435986575278
as espectativas,-0.7345623774611819
serviço de,-0.7345577525753548
pelo produto,-0.7341285763302144
mais gostei,-0.7340012569288685
problema que,-0.7336934130812598
do modelo,-0.7336811148404114
eu havia,-0.7334964594015736
atender,-0.733441401615002
da greve,-0.7331028084903831
retirar produto,-0.7329034326533326
um jogo,-0.7325060721821293
ok produto,-0.7324632157841166
previsto para,-0.7324088231810547
os clientes,-0.7319838562433266
mesmo antes,-0.7316552768381198
não vou,-0.7313548622706957
estoque,-0.7307849487368784
baratheon muito,-0.730000729012487
não está,-0.7294559547236553
entregue um,-0.7294265025180547
mas no,-0.7290164224623862
compre,-0.7286829407335714
respondeu,-0.7285259083434933
frete muito,-0.7280869418271786
samsung,-0.7273304186414149
bem feita,-0.7267528296210842
espaço,-0.7261450967878099
nao recomendo,-0.726137403269793
com meu,-0.7260738108786664
as compras,-0.7258493415369068
proceder,-0.7258153646907172
do vendedor,-0.7257700091147247
tela do,-0.7251362016783316
testado,-0.7249334156136201
transparente,-0.724374845937882
pra ver,-0.7234962495744377
prazo certinho,-0.7233376773838427
já que,-0.7229269809927995
transação,-0.722592989136309
lixeira,-0.7224825479644172
película não,-0.7222874638037242
dou,-0.7203306803846151
compra com,-0.72028141062138
efetuar,-0.7202490049581964
indico produto,-0.7200371511106647
tive resposta,-0.7197422379679763
obtive resposta,-0.7186824414568614
compensa,-0.7185963815154163
pulseiras,-0.7184749084496268
entra,-0.7182077138898489
escova,-0.7181201051112772
resultado,-0.717436234187405
fiz uma,-0.7164245792403019
recebido dentro,-0.7164028207692044
feita no,-0.7158300111493204
da cadeira,-0.7154933435716578
que entrega,-0.715335290611635
mas demorou,-0.715199921546107
pouco menor,-0.7150275392374822
desenho,-0.7148721022784825
no meu,-0.714526807908321
mais rápida,-0.7143112655779614
maravilhoso,-0.7142917506684119
muito resistente,-0.714159315282503
quebrou,-0.7139606593407302
saber como,-0.7138138006475706
veio de,-0.7134165670781191
recebi muito,-0.7134107730977121
um de,-0.7132859160555455
prazo como,-0.713027506626047
produto demorou,-0.712697294782051
pendentes,-0.7126461720052106
mudar,-0.7126353302986509
surpresa,-0.7124311601001164
tudo bom,-0.7122868386881556
atende bem,-0.7121999613751406
almofada,-0.7107105146681364
super satisfeito,-0.7103034304457435
não vem,-0.7101627103789164
temos,-0.7100989511589456
mandar,-0.7100614465551148
qualidade adorei,-0.7099330431602873
pensei que,-0.7098381180819644
até entrega,-0.7097658212080735
entregue como,-0.7093596331612345
placa,-0.7071386474848066
bem inferior,-0.7069366256925961
chegou mais,-0.706464806392933
recebi de,-0.7064256012952089
mandaram,-0.7059804927778112
recomendo sempre,-0.7058578100130335
compatível com,-0.7055470890976303
recomendo comprar,-0.7053019977769988
foto material,-0.7046887674696241
eficiência na,-0.7043272086016686
mas foi,-0.7041870868210287
antecedência,-0.7038615534351537
falsificado,-0.7037884728954895
necessário,-0.7036093743501994
expectativas recomendo,-0.7035285322385796
demorando,-0.7030638610285034
ocorrido,-0.7029948814963467
faltam,-0.7026081844766904
um pequeno,-0.7023728098951897
ter recebido,-0.7023440114068095
eficiente produto,-0.7017187848389294
pelo trabalho,-0.7015891556246028
total,-0.7010252868386843
lindo chegou,-0.7010160346032566
certo recomendo,-0.7007680308350507
para quem,-0.7005730891870884
procon,-0.7005711716199687
de pagamento,-0.7003153303885729
igual foto,-0.7002206762583169
sala,-0.6997542941220011
propaganda,-0.6997469383735767
sobre produto,-0.6997407954634866
prazo entrega,-0.6997314168219627
encontrei,-0.6993677241002131
continuarei,-0.6991029547187677
vão,-0.6980478382839617
existe,-0.6979483333155493
dias úteis,-0.6978862828426815
tenho nada,-0.6978666890730897
qualidade estou,-0.6975505824665231
funcionando perfeitamente,-0.697010333835071
impecável,-0.6969284896047953
só de,-0.6968238010989166
que ir,-0.6965494364081267
que deveria,-0.6962500611059549
esperado recomendo,-0.6956294401527187
deles,-0.6956046140251726
de todos,-0.69532784625627
obrigada pelo,-0.6953113466448827
fixação,-0.6952516554240071
corta,-0.6950896818502637
um frete,-0.6950000239745524
muita demora,-0.69494222248934
úteis,-0.6948079895368175
agência,-0.6945847424740006
como produto,-0.6944934222068914
compra do,-0.6942915118433979
amei minha,-0.6936460807281477
ambiente,-0.6935537941535568
dos lados,-0.6935292195045655
crédito,-0.693401853472111
foto do,-0.6930810525164909
qualidades,-0.692958631026196
atraso mas,-0.6928618074051996
muito fina,-0.6926316088298332
muito produto,-0.6905677169895288
veio certo,-0.6905224116462264
tudo no,-0.6904842042403676
chave,-0.6898729349160073
produto me,-0.6896171530845727
impossível,-0.6894297502060226
um tamanho,-0.6891961567898349
feitas,-0.6886555580665578
melhor preço,-0.6885467960776458
não original,-0.6884893943755489
superior,-0.6884572505524489
comprou,-0.6881442235392478
boneca linda,-0.6880965325813894
para os,-0.6875528506075096
de antecedência,-0.687472452069911
presente de,-0.6872439099124357
entregue de,-0.6870702216762268
condições recomendo,-0.6859054239608107
atrás,-0.6856329079652481
sujo,-0.6854530887774306
disponível,-0.6853046555040938
perfeito chegou,-0.6846519795713305
achei um,-0.6844515331502183
em excelente,-0.6840706826916463
atendeu minha,-0.6837995611497218
prazo satisfeita,-0.6837320521086393
por telefone,-0.6836286831609765
de pessima,-0.6836156869199583
danificada,-0.6832460953913899
entrega parabéns,-0.682962635285163
pinceis,-0.6826836084924869
cara,-0.6826812527694421
está loja,-0.6823488473726613
pedido foi,-0.6820596634817369
bem acondicionado,-0.6819720468120074
do correios,-0.681879085615005
uma caixa,-0.6816783775868019
pincéis são,-0.6813330059555771
com excelente,-0.6803045694074454
comprei com,-0.6802541150978716
do encosto,-0.6799964936951077
produto além,-0.6798484200113573
já se,-0.6795485159939483
pantufa,-0.6793083197488418
parceira,-0.6792912056109599
mas bem,-0.6792117618830236
muito dos,-0.6789927281829874
do celular,-0.6789263562736246
qualidade bem,-0.6788240700761162
pouco mas,-0.6782050432260379
já estava,-0.6779885231721517
instrução,-0.6770138580375876
entregue rápido,-0.6769925417323124
site seguro,-0.6769509489729493
prazo relógio,-0.6763240878539045
prazo estimado,-0.6758028318934041
notebook,-0.6755418898544442
com os,-0.675140103103666
verde,-0.6746058608701937
fiscal de,-0.6745791964703979
bege,-0.674559137465025
ver se,-0.6745095012354997
passou,-0.674208232445861
duas peças,-0.674149216866133
logo,-0.6736188820302152
loja enviou,-0.6735502844836359
mercadoria de,-0.6735031891229208
ótimo material,-0.6733799498217566
havia pedido,-0.67292500266865
bons preços,-0.6726922080930722
com segurança,-0.6723912998557313
alça,-0.6722170661389919
com esse,-0.6717838098302803
recebeu,-0.6717211418457968
produto fosse,-0.6716680878497433
segunda vez,-0.6715808950045489
fui muito,-0.6709387783026212
ruim não,-0.6708222662315559
que muito,-0.6693720714864928
período,-0.6691002987703939
dourado,-0.6690006053891928
senti,-0.6680651919877044
se eu,-0.6678179052049201
parte da,-0.6677709613898241
mas as,-0.6666916531049325
travesseiro,-0.6666792804893179
produto produto,-0.6653185388751465
escrito,-0.6649215399099924
ser de,-0.6645117793672829
